the modle generate time is 0.18907618522644043

Time taken for embedding: 0.32393336296081543
cuda:0
Time taken for Attention and norm: 0.08522987365722656
Time taken for GATE_scores: 0.024921178817749023
Time taken for Expert_output: 0.044259071350097656
Time taken for ffn and norm: 0.06944084167480469
Time taken for 0 layer: 0.15474843978881836
cuda:0
Time taken for Attention and norm: 0.0017666816711425781
Time taken for GATE_scores: 0.0003750324249267578
Time taken for Expert_output: 0.037191152572631836
Time taken for ffn and norm: 0.03775429725646973
Time taken for 1 layer: 0.03954434394836426
cuda:0
Time taken for Attention and norm: 0.0022678375244140625
Time taken for GATE_scores: 0.00045418739318847656
Time taken for Expert_output: 0.07733392715454102
Time taken for ffn and norm: 0.07793164253234863
Time taken for 2 layer: 0.08022403717041016
cuda:0
Time taken for Attention and norm: 0.0017659664154052734
Time taken for GATE_scores: 0.00034499168395996094
Time taken for Expert_output: 0.06811332702636719
Time taken for ffn and norm: 0.06859207153320312
Time taken for 3 layer: 0.07037758827209473
cuda:0
Time taken for Attention and norm: 0.0016956329345703125
Time taken for GATE_scores: 0.000335693359375
Time taken for Expert_output: 0.037369489669799805
Time taken for ffn and norm: 0.037835121154785156
Time taken for 4 layer: 0.03954911231994629
cuda:0
Time taken for Attention and norm: 0.0015358924865722656
Time taken for GATE_scores: 0.00033354759216308594
Time taken for Expert_output: 0.03800487518310547
Time taken for ffn and norm: 0.03847146034240723
Time taken for 5 layer: 0.040024518966674805
cuda:0
Time taken for Attention and norm: 0.0015616416931152344
Time taken for GATE_scores: 0.0003268718719482422
Time taken for Expert_output: 0.03823232650756836
Time taken for ffn and norm: 0.03868532180786133
Time taken for 6 layer: 0.04026508331298828
cuda:0
Time taken for Attention and norm: 0.0015408992767333984
Time taken for GATE_scores: 0.00032401084899902344
Time taken for Expert_output: 0.038664817810058594
Time taken for ffn and norm: 0.039321184158325195
Time taken for 7 layer: 0.040884971618652344
cuda:0
Time taken for Attention and norm: 0.003880023956298828
Time taken for GATE_scores: 0.0005173683166503906
Time taken for Expert_output: 0.035668134689331055
Time taken for ffn and norm: 0.03640246391296387
Time taken for 8 layer: 0.0403134822845459
cuda:0
Time taken for Attention and norm: 0.001926422119140625
Time taken for GATE_scores: 0.0004055500030517578
Time taken for Expert_output: 0.05083799362182617
Time taken for ffn and norm: 0.05139732360839844
Time taken for 9 layer: 0.05335044860839844
cuda:0
cuda:0
Time taken for final to_out: 0.0030972957611083984
the total time is 6.156996011734009
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.12%       1.367ms         3.90%      45.727ms     411.955us       0.000us         0.00%     516.206ms       4.651ms           0 b           0 b      10.02 Gb           0 b           111  
                                            aten::addmm         0.84%       9.856ms         3.62%      42.371ms     381.721us     497.049ms        88.30%     516.206ms       4.651ms           0 b           0 b      10.02 Gb      10.02 Gb           111  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     274.674ms        48.80%     274.674ms       6.699ms           0 b           0 b           0 b           0 b            41  
                                 ampere_sgemm_128x32_tn         0.00%       0.000us         0.00%       0.000us       0.000us     209.671ms        37.25%     209.671ms       4.193ms           0 b           0 b           0 b           0 b            50  
                                  cudaStreamIsCapturing         0.01%     163.000us         0.01%     163.000us       0.988us      97.990ms        17.41%      97.990ms     593.879us           0 b           0 b           0 b           0 b           165  
                                            aten::isnan         0.01%      75.000us         2.28%      26.679ms       1.334ms       0.000us         0.00%      91.130ms       4.556ms           0 b           0 b     320.31 Mb           0 b            20  
                                               aten::ne         0.04%     432.000us         2.27%      26.604ms       1.330ms       1.131ms         0.20%      91.130ms       4.556ms           0 b           0 b     320.31 Mb     320.31 Mb            20  
                                           aten::matmul         0.04%     486.000us         1.20%      14.107ms     705.350us       0.000us         0.00%      39.812ms       1.991ms           0 b           0 b       3.75 Gb           0 b            20  
                                              aten::bmm         0.07%     831.000us         0.37%       4.295ms     214.750us      22.028ms         3.91%      33.811ms       1.691ms           0 b           0 b       2.81 Gb       2.81 Gb            20  
                                       cudaLaunchKernel        38.05%     445.608ms        38.05%     445.608ms     920.678us      24.187ms         4.30%      24.187ms      49.973us           0 b           0 b           0 b           0 b           484  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us      22.028ms         3.91%      22.028ms       1.101ms           0 b           0 b           0 b           0 b            20  
                                  ampere_sgemm_64x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      12.119ms         2.15%      12.119ms       1.212ms           0 b           0 b           0 b           0 b            10  
                                            aten::copy_         0.06%     665.000us         0.72%       8.423ms     140.383us       6.012ms         1.07%      10.450ms     174.167us           0 b           0 b           0 b           0 b            60  
